ticker,float_shares,sector
IONQ,14500000,Technology
SOUN,12000000,Technology
RKLB,16000000,Technology
LUNR,8500000,Technology
ACHR,11000000,Technology
JOBY,15000000,Technology
LILM,9000000,Technology
ASTS,13000000,Technology
SATL,7500000,Technology
SPCE,18000000,Technology
GENI,10500000,Technology
APLD,12500000,Technology
MARA,17000000,Technology
RIOT,16500000,Technology
HUT,14000000,Technology
CLSK,11500000,Technology
WULF,9500000,Technology
BTBT,8000000,Technology
CIFR,7000000,Technology
IREN,10000000,Technology
CORZ,12000000,Technology
BITF,13500000,Technology
ACMR,8500000,Technology
AEHR,6500000,Technology
RXRX,14000000,Healthcare
SEER,5500000,Healthcare
VERV,9000000,Healthcare
BEAM,11000000,Healthcare
EDIT,10500000,Healthcare
CRSP,13000000,Healthcare
NTLA,8000000,Healthcare
FATE,7500000,Healthcare
KYMR,6000000,Healthcare
IMVT,9500000,Healthcare
ARQT,5000000,Healthcare
PRAX,6200000,Healthcare
KROS,7000000,Healthcare
ALDX,4500000,Healthcare
ABCL,8000000,Healthcare
AGEN,12000000,Healthcare
AGIO,9000000,Healthcare
AKRO,5500000,Healthcare
ALNY,14000000,Healthcare
AMRX,11000000,Healthcare
ARCT,7000000,Healthcare
ARWR,10000000,Healthcare
ASND,8500000,Healthcare
AUPH,9000000,Healthcare
AVIR,6500000,Healthcare
BCLI,4000000,Healthcare
BCRX,13000000,Healthcare
BNTX,15000000,Healthcare
BPMC,7500000,Healthcare
BTAI,5000000,Healthcare
CAPR,4500000,Healthcare
CDNA,8000000,Healthcare
CERE,6000000,Healthcare
CMPS,9500000,Healthcare
CMRX,5500000,Healthcare
COGT,4000000,Healthcare
COYA,3500000,Healthcare
CPRX,7000000,Healthcare
CRDF,4500000,Healthcare
CRIS,5000000,Healthcare
CYCN,3000000,Healthcare
DCTH,3500000,Healthcare
DMAC,4000000,Healthcare
DVAX,10000000,Healthcare
ENLV,3500000,Healthcare
ETNB,6000000,Healthcare
EXAI,5500000,Healthcare
FGEN,8500000,Healthcare
FOLD,7000000,Healthcare
FULC,5000000,Healthcare
GALT,4500000,Healthcare
GERN,11000000,Healthcare
GRPH,6500000,Healthcare
HALO,9000000,Healthcare
HIMS,14000000,Healthcare
HRMY,5500000,Healthcare
HRTX,7500000,Healthcare
