ticker,float_shares,sector
ACMR,8500000,Technology
PRAX,6200000,Healthcare
LPSN,9800000,Technology
MARA,18000000,Technology
CLNN,4500000,Healthcare
AKER,3200000,Healthcare
OCEA,5100000,Healthcare
HUDI,7000000,Technology
SMFL,2800000,Financial
WLDS,6500000,Technology
BBAI,12000000,Technology
VERB,9200000,Technology
IMPP,7800000,Energy
CNEY,3400000,Technology
INDO,5600000,Energy
GFAI,4100000,Technology
BFRI,2900000,Healthcare
SXTC,3700000,Healthcare
SHOT,6800000,Technology
CEI,14500000,Energy
PROG,11000000,Healthcare
ATER,8300000,Technology
SDC,16000000,Healthcare
WKHS,13500000,Technology
MULN,17500000,Technology
SPRT,4800000,Technology
CLOV,18500000,Healthcare
EDBL,3100000,Technology
GNLN,5900000,Healthcare
NKLA,15000000,Technology
BNOX,2600000,Healthcare
SIGA,7400000,Healthcare
TPVG,6100000,Financial
PTGX,4300000,Healthcare
GEVI,3800000,Technology
HPNN,2200000,Technology
RELI,4600000,Financial
MFIN,5300000,Financial
JWSM,3500000,Financial
SONX,5700000,Healthcare
THTX,4200000,Healthcare
XBIO,3900000,Healthcare
MYMD,5500000,Healthcare
AEYE,6300000,Healthcare
BSGM,4700000,Healthcare
CODA,3300000,Healthcare
VBIV,8100000,Healthcare
SINT,5200000,Healthcare
SEED,7600000,Energy
NTRB,4400000,Healthcare
HUSA,3600000,Energy
ELST,5800000,Technology
APCX,4900000,Technology
TAOP,6700000,Technology
AIXI,5400000,Technology
MGOL,3200000,Technology
CUEN,4100000,Financial
INPX,7200000,Technology
JZXN,2700000,Technology
LKCO,6000000,Technology
